tournament    vs  teamA   scoreA  scoreB  teamB   round   patch   date
LCP 2025 Mid Season   CHF vs CFO	CTBC Flying Oyster	2   0	Chiefs Esports Club	WEEK5	15.10	2025-05-17
LCP 2025 Mid Season   SHG vs TSW	Team Secret Whales	2   0	Fukuoka SoftBank HAWKS gaming	WEEK5	15.10	2025-05-17
LCP 2025 Mid Season   GAM Esports vs MVKE	MGN Vikings Esports	2   1	GAM Esports	WEEK5	15.10	2025-05-16
LCP 2025 Mid Season   DFM vs TALON	PSG Talon	2   0	DetonatioN FocusMe	WEEK5	15.10	2025-05-16
LCP 2025 Mid Season   DFM vs CFO	CTBC Flying Oyster	2   0	DetonatioN FocusMe	WEEK4	15.9	2025-05-11
LCP 2025 Mid Season   MVKE vs TSW	Team Secret Whales	2   0	MGN Vikings Esports	WEEK4	15.9	2025-05-11
LCP 2025 Mid Season   TALON vs SHG	Fukuoka SoftBank HAWKS gaming	1   2	PSG Talon	WEEK4	15.9	2025-05-10
LCP 2025 Mid Season   GAM Esports vs CHF	GAM Esports	2   0	Chiefs Esports Club	WEEK4	15.9	2025-05-10
LCP 2025 Mid Season   TALON vs TSW	PSG Talon	0   2	Team Secret Whales	WEEK3	15.9	2025-05-04
LCP 2025 Mid Season   CHF vs MVKE	MGN Vikings Esports	2   1	Chiefs Esports Club	WEEK3	15.9	2025-05-04
LCP 2025 Mid Season   GAM Esports vs CFO	GAM Esports	0   2	CTBC Flying Oyster	WEEK3	15.9	2025-05-03
LCP 2025 Mid Season   DFM vs SHG	Fukuoka SoftBank HAWKS gaming	2   1	DetonatioN FocusMe	WEEK3	15.9	2025-05-03
LCP 2025 Mid Season   CFO vs MVKE	CTBC Flying Oyster	2   0	MGN Vikings Esports	WEEK2	15.8	2025-04-27
LCP 2025 Mid Season   TSW vs DFM	Team Secret Whales	2   0	DetonatioN FocusMe	WEEK2	15.8	2025-04-27
LCP 2025 Mid Season   SHG vs GAM Esports	GAM Esports	2   0	Fukuoka SoftBank HAWKS gaming	WEEK2	15.8	2025-04-26
LCP 2025 Mid Season   CHF vs TALON	Chiefs Esports Club	0   2	PSG Talon	WEEK2	15.8	2025-04-26
LCP 2025 Mid Season   TSW vs GAM Esports	GAM Esports	2   1	Team Secret Whales	WEEK1	15.8	2025-04-20
LCP 2025 Mid Season   DFM vs CHF	DetonatioN FocusMe	2   1	Chiefs Esports Club	WEEK1	15.8	2025-04-20
LCP 2025 Mid Season   CFO vs TALON	PSG Talon	1   2	CTBC Flying Oyster	WEEK1	15.8	2025-04-19
LCP 2025 Mid Season   MVKE vs SHG	Fukuoka SoftBank HAWKS gaming	0   2	MGN Vikings Esports	WEEK1	15.8	2025-04-19
LCP 2025 Season Kickoff Qualifying Series   CFO vs TALON	CTBC Flying Oyster	3   1	PSG Talon	FINALS	15.3	2025-02-23
LCP 2025 Season Kickoff Qualifying Series   MVKE vs TALON	PSG Talon	3   2	MGN Vikings Esports	ROUND3	15.3	2025-02-22
LCP 2025 Season Kickoff Qualifying Series   MVKE vs CFO	CTBC Flying Oyster	3   1	MGN Vikings Esports	ROUND3	15.3	2025-02-21
LCP 2025 Season Kickoff Qualifying Series   TALON vs GAM Esports	GAM Esports	1   2	PSG Talon	ROUND2	15.3	2025-02-21
LCP 2025 Season Kickoff Qualifying Series   CFO vs GAM Esports	CTBC Flying Oyster	2   0	GAM Esports	ROUND2	15.3	2025-02-19
LCP 2025 Season Kickoff Qualifying Series   TALON vs MVKE	PSG Talon	1   2	MGN Vikings Esports	ROUND2	15.3	2025-02-19
LCP 2025 Season Kickoff Qualifying Series   TSW vs GAM Esports	Team Secret Whales	0   2	GAM Esports	ROUND1	15.3	2025-02-18
