teamA,teamB,scoreA,scoreB,date
Movistar R7,Team Aze,2,0,2023-07-19
All Knights,Isurus,0,2,2023-07-19
Infinity eSports,Leviatan,2,0,2023-07-18
Six Karma,Estral Esports,0,2,2023-07-18
Isurus,Movistar R7,0,2,2023-07-12
Leviatan,Estral Esports,0,2,2023-07-12
Team Aze,All Knights,2,0,2023-07-11
Infinity eSports,Six Karma,1,2,2023-07-11
Six Karma,Isurus,2,0,2023-07-05
Estral Esports,Team Aze,2,0,2023-07-05
Movistar R7,Infinity eSports,2,1,2023-07-04
Leviatan,All Knights,0,2,2023-07-04
Estral Esports,Movistar R7,0,2,2023-06-28
Team Aze,Six Karma,0,2,2023-06-28
Leviatan,Isurus,0,2,2023-06-27
Infinity eSports,All Knights,2,0,2023-06-27
Movistar R7,Leviatan,2,0,2023-06-21
Isurus,Team Aze,0,2,2023-06-21
Infinity eSports,Estral Esports,0,2,2023-06-20
Six Karma,All Knights,2,1,2023-06-20
Estral Esports,Isurus,2,1,2023-06-14
Team Aze,Infinity eSports,0,2,2023-06-14
All Knights,Movistar R7,0,2,2023-06-13
Leviatan,Six Karma,0,2,2023-06-13
All Knights,Estral Esports,0,2,2023-06-08
Isurus,Infinity eSports,0,2,2023-06-08
Team Aze,Leviatan,2,0,2023-06-07
Six Karma,Movistar R7,1,2,2023-06-06
