teamA,teamB,scoreA,scoreB,date
Invictus Gaming,Bilibili Gaming,2,0,2025-08-28
JD Gaming,Weibo Gaming,2,1,2025-08-28
Team WE,Anyone s Legend,2,0,2025-08-27
Weibo Gaming,JD Gaming,2,0,2025-08-27
Top Esports,Funplus Phoenix,2,1,2025-08-26
Team WE,Invictus Gaming,0,2,2025-08-26
Funplus Phoenix,Bilibili Gaming,0,2,2025-08-25
LGD Gaming,Ultra Prime,2,1,2025-08-25
Anyone s Legend,JD Gaming,2,0,2025-08-24
Edward Gaming,LNG Esports,2,0,2025-08-24
Weibo Gaming,Invictus Gaming,1,2,2025-08-23
Team WE,Top Esports,1,2,2025-08-23
LNG Esports,TT,2,0,2025-08-23
Edward Gaming,LGD Gaming,0,2,2025-08-22
Invictus Gaming,Funplus Phoenix,2,0,2025-08-22
JD Gaming,Bilibili Gaming,1,2,2025-08-21
Ultra Prime,Edward Gaming,0,2,2025-08-21
Funplus Phoenix,Anyone s Legend,0,2,2025-08-20
LGD Gaming,TT,2,0,2025-08-20
Anyone s Legend,Top Esports,0,2,2025-08-19
Ninjas in Pyjamas,LNG Esports,2,0,2025-08-19
Bilibili Gaming,Invictus Gaming,1,2,2025-08-18
Funplus Phoenix,Weibo Gaming,0,2,2025-08-18
Top Esports,Bilibili Gaming,2,0,2025-08-17
Weibo Gaming,Anyone s Legend,0,2,2025-08-17
Invictus Gaming,Top Esports,2,1,2025-08-16
TT,Ultra Prime,1,2,2025-08-16
Team WE,JD Gaming,1,2,2025-08-16
Bilibili Gaming,Weibo Gaming,2,1,2025-08-15
Anyone s Legend,Invictus Gaming,2,0,2025-08-15
Funplus Phoenix,Team WE,0,2,2025-08-14
Ninjas in Pyjamas,Edward Gaming,2,1,2025-08-14
Bilibili Gaming,Anyone s Legend,1,2,2025-08-13
JD Gaming,Top Esports,1,2,2025-08-13
Weibo Gaming,Team WE,2,1,2025-08-12
Ninjas in Pyjamas,LGD Gaming,2,0,2025-08-12
JD Gaming,Funplus Phoenix,2,0,2025-08-11
Ultra Prime,Ninjas in Pyjamas,0,2,2025-08-11
Bilibili Gaming,Team WE,2,1,2025-08-10
TT,Edward Gaming,1,2,2025-08-10
Invictus Gaming,JD Gaming,2,0,2025-08-09
Top Esports,Weibo Gaming,2,0,2025-08-09
Team WE,Bilibili Gaming,1,2,2025-08-09
Anyone s Legend,Funplus Phoenix,2,1,2025-08-08
Ultra Prime,LNG Esports,2,1,2025-08-08
TT,Ninjas in Pyjamas,1,2,2025-08-07
LNG Esports,LGD Gaming,2,0,2025-08-07
Invictus Gaming,Anyone s Legend,2,0,2025-08-06
Bilibili Gaming,JD Gaming,2,1,2025-08-06
Top Esports,Anyone s Legend,2,1,2025-08-05
Ninjas in Pyjamas,TT,2,1,2025-08-05
Team WE,Funplus Phoenix,2,1,2025-08-04
Bilibili Gaming,Top Esports,2,0,2025-08-03
LNG Esports,Edward Gaming,0,2,2025-08-03
JD Gaming,Anyone s Legend,0,2,2025-08-02
LNG Esports,Ultra Prime,1,2,2025-08-02
TT,LGD Gaming,0,2,2025-08-02
Invictus Gaming,Weibo Gaming,2,0,2025-08-01
Funplus Phoenix,JD Gaming,0,2,2025-08-01
Weibo Gaming,Bilibili Gaming,0,2,2025-07-31
Top Esports,Team WE,2,1,2025-07-31
Anyone s Legend,Team WE,2,1,2025-07-30
Funplus Phoenix,Invictus Gaming,2,0,2025-07-29
Ultra Prime,LGD Gaming,1,2,2025-07-29
Top Esports,JD Gaming,2,0,2025-07-28
LGD Gaming,Edward Gaming,0,2,2025-07-28
Anyone s Legend,Weibo Gaming,1,2,2025-07-27
Bilibili Gaming,Funplus Phoenix,2,0,2025-07-27
JD Gaming,Team WE,2,1,2025-07-26
Anyone s Legend,Bilibili Gaming,1,2,2025-07-26
Ninjas in Pyjamas,Ultra Prime,2,1,2025-07-26
LGD Gaming,LNG Esports,2,1,2025-07-25
Edward Gaming,Ninjas in Pyjamas,2,0,2025-07-25
TT,LNG Esports,2,0,2025-07-24
JD Gaming,Invictus Gaming,0,2,2025-07-24
Team WE,Weibo Gaming,1,2,2025-07-23
Funplus Phoenix,Top Esports,0,2,2025-07-23
Invictus Gaming,Team WE,2,0,2025-07-22
LGD Gaming,Ninjas in Pyjamas,1,2,2025-07-22
LNG Esports,Ninjas in Pyjamas,0,2,2025-07-21
Ultra Prime,TT,1,2,2025-07-21
Weibo Gaming,Top Esports,1,2,2025-07-20
Edward Gaming,TT,2,0,2025-07-20
Top Esports,Invictus Gaming,2,1,2025-07-19
Weibo Gaming,Funplus Phoenix,2,1,2025-07-19
Edward Gaming,Ultra Prime,2,0,2025-07-19
