teamA,teamB,scoreA,scoreB,date
CTBC Flying Oyster,Frank Esports,1,0,2023-08-07
HELL PIGS,PSG Talon,0,1,2023-08-06
CTBC Flying Oyster,Impunity,1,0,2023-08-06
Deep Cross Gaming,Frank Esports,1,0,2023-08-06
J Team,Dewish Team,1,0,2023-08-06
Beyond Gaming,West Point Esports,1,0,2023-08-06
PSG Talon,J Team,0,1,2023-08-05
HELL PIGS,Deep Cross Gaming,1,0,2023-08-05
Beyond Gaming,CTBC Flying Oyster,1,0,2023-08-05
Frank Esports,Dewish Team,1,0,2023-08-05
Impunity,West Point Esports,0,1,2023-08-05
Impunity,Frank Esports,0,1,2023-08-04
HELL PIGS,J Team,0,1,2023-08-04
West Point Esports,PSG Talon,0,1,2023-08-04
CTBC Flying Oyster,Dewish Team,0,1,2023-08-04
Beyond Gaming,Deep Cross Gaming,1,0,2023-08-04
Deep Cross Gaming,Dewish Team,1,0,2023-07-30
PSG Talon,CTBC Flying Oyster,1,0,2023-07-30
Frank Esports,Beyond Gaming,0,1,2023-07-30
HELL PIGS,West Point Esports,0,1,2023-07-30
J Team,Impunity,1,0,2023-07-30
Frank Esports,J Team,1,0,2023-07-29
Impunity,HELL PIGS,0,1,2023-07-29
Deep Cross Gaming,PSG Talon,0,1,2023-07-29
Beyond Gaming,Dewish Team,1,0,2023-07-29
West Point Esports,CTBC Flying Oyster,1,0,2023-07-29
PSG Talon,Impunity,1,0,2023-07-28
Frank Esports,HELL PIGS,1,0,2023-07-28
J Team,Beyond Gaming,1,0,2023-07-28
West Point Esports,Dewish Team,1,0,2023-07-28
Deep Cross Gaming,CTBC Flying Oyster,1,0,2023-07-28
West Point Esports,Deep Cross Gaming,0,1,2023-07-23
J Team,CTBC Flying Oyster,1,0,2023-07-23
PSG Talon,Frank Esports,1,0,2023-07-23
Beyond Gaming,Impunity,1,0,2023-07-23
HELL PIGS,Dewish Team,1,0,2023-07-23
HELL PIGS,Beyond Gaming,1,0,2023-07-22
CTBC Flying Oyster,Frank Esports,0,1,2023-07-22
Deep Cross Gaming,Impunity,1,0,2023-07-22
J Team,West Point Esports,1,0,2023-07-22
Dewish Team,PSG Talon,0,1,2023-07-22
J Team,Deep Cross Gaming,1,0,2023-07-21
CTBC Flying Oyster,HELL PIGS,1,0,2023-07-21
PSG Talon,Beyond Gaming,1,0,2023-07-21
Dewish Team,Impunity,0,1,2023-07-21
Frank Esports,West Point Esports,1,0,2023-07-21
West Point Esports,HELL PIGS,1,0,2023-07-16
Dewish Team,CTBC Flying Oyster,0,1,2023-07-16
Deep Cross Gaming,Beyond Gaming,0,1,2023-07-16
Impunity,PSG Talon,0,1,2023-07-16
Frank Esports,J Team,0,1,2023-07-16
Dewish Team,J Team,0,1,2023-07-15
HELL PIGS,Impunity,1,0,2023-07-15
Beyond Gaming,Frank Esports,1,0,2023-07-15
PSG Talon,West Point Esports,1,0,2023-07-15
CTBC Flying Oyster,Deep Cross Gaming,1,0,2023-07-15
PSG Talon,CTBC Flying Oyster,1,0,2023-07-14
Beyond Gaming,J Team,1,0,2023-07-14
HELL PIGS,Frank Esports,1,0,2023-07-14
Dewish Team,Deep Cross Gaming,0,1,2023-07-14
Impunity,West Point Esports,0,1,2023-07-14
Deep Cross Gaming,J Team,0,1,2023-07-09
Impunity,Beyond Gaming,0,1,2023-07-09
PSG Talon,HELL PIGS,1,0,2023-07-09
CTBC Flying Oyster,West Point Esports,1,0,2023-07-09
Dewish Team,Frank Esports,0,1,2023-07-09
Beyond Gaming,PSG Talon,1,0,2023-07-08
CTBC Flying Oyster,J Team,0,1,2023-07-08
Dewish Team,HELL PIGS,0,1,2023-07-08
West Point Esports,Frank Esports,0,1,2023-07-08
Impunity,Deep Cross Gaming,0,1,2023-07-08
CTBC Flying Oyster,Beyond Gaming,1,0,2023-07-07
Frank Esports,Impunity,1,0,2023-07-07
Deep Cross Gaming,HELL PIGS,1,0,2023-07-07
PSG Talon,Dewish Team,1,0,2023-07-07
West Point Esports,J Team,0,1,2023-07-07
Impunity,CTBC Flying Oyster,0,1,2023-07-02
HELL PIGS,Beyond Gaming,0,1,2023-07-02
J Team,PSG Talon,0,1,2023-07-02
Deep Cross Gaming,Frank Esports,1,0,2023-07-02
West Point Esports,Dewish Team,1,0,2023-07-02
Impunity,Dewish Team,1,0,2023-07-01
HELL PIGS,J Team,0,1,2023-07-01
PSG Talon,Deep Cross Gaming,1,0,2023-07-01
Frank Esports,CTBC Flying Oyster,0,1,2023-07-01
West Point Esports,Beyond Gaming,0,1,2023-07-01
Frank Esports,PSG Talon,0,1,2023-06-30
CTBC Flying Oyster,HELL PIGS,1,0,2023-06-30
Dewish Team,Beyond Gaming,0,1,2023-06-30
Deep Cross Gaming,West Point Esports,1,0,2023-06-30
Impunity,J Team,0,1,2023-06-30
