teamA,teamB,scoreA,scoreB,date
Gen.G eSports,T1,3,2,2024-04-14
Hanwha Life eSports,T1,1,3,2024-04-13
T1,Dplus KIA,3,0,2024-04-07
Gen.G eSports,Hanwha Life eSports,3,1,2024-04-06
T1,Hanwha Life eSports,0,3,2024-04-04
Gen.G eSports,Dplus KIA,3,2,2024-04-03
KT Rolster,Dplus KIA,2,3,2024-03-31
Hanwha Life eSports,Kwangdong Freecs,3,0,2024-03-30
