teamA,teamB,scoreA,scoreB,date
Frank Esports,CTBC Flying Oyster,1,0,2023-03-12
Deep Cross Gaming,Beyond Gaming,0,1,2023-03-12
PSG Talon,J Team,0,1,2023-03-11
Deep Cross Gaming,HELL PIGS,1,0,2023-03-11
Beyond Gaming,CTBC Flying Oyster,1,0,2023-03-11
Dewish Team,Frank Esports,0,1,2023-03-11
Impunity,SEM9 WPE,1,0,2023-03-11
Deep Cross Gaming,Dewish Team,1,0,2023-03-10
Beyond Gaming,Impunity,0,1,2023-03-10
Frank Esports,PSG Talon,0,1,2023-03-10
CTBC Flying Oyster,J Team,1,0,2023-03-10
HELL PIGS,SEM9 WPE,1,0,2023-03-10
Deep Cross Gaming,PSG Talon,0,1,2023-03-09
HELL PIGS,Impunity,0,1,2023-03-09
Beyond Gaming,SEM9 WPE,0,1,2023-03-09
CTBC Flying Oyster,Frank Esports,0,1,2023-03-09
J Team,Dewish Team,1,0,2023-03-09
PSG Talon,Dewish Team,1,0,2023-03-05
Beyond Gaming,HELL PIGS,1,0,2023-03-05
Impunity,J Team,0,1,2023-03-05
Deep Cross Gaming,CTBC Flying Oyster,0,1,2023-03-05
Frank Esports,SEM9 WPE,1,0,2023-03-05
J Team,Beyond Gaming,0,1,2023-03-04
Frank Esports,Impunity,1,0,2023-03-04
Deep Cross Gaming,SEM9 WPE,1,0,2023-03-04
Dewish Team,CTBC Flying Oyster,0,1,2023-03-04
PSG Talon,HELL PIGS,1,0,2023-03-04
Frank Esports,Deep Cross Gaming,1,0,2023-03-03
PSG Talon,Beyond Gaming,1,0,2023-03-03
J Team,SEM9 WPE,1,0,2023-03-03
Impunity,Dewish Team,1,0,2023-03-03
CTBC Flying Oyster,HELL PIGS,1,0,2023-03-03
J Team,HELL PIGS,0,1,2023-02-26
SEM9 WPE,Dewish Team,0,1,2023-02-26
CTBC Flying Oyster,PSG Talon,0,1,2023-02-26
Beyond Gaming,Frank Esports,1,0,2023-02-26
Deep Cross Gaming,Impunity,0,1,2023-02-26
J Team,Frank Esports,0,1,2023-02-25
Dewish Team,HELL PIGS,1,0,2023-02-25
CTBC Flying Oyster,SEM9 WPE,1,0,2023-02-25
PSG Talon,Impunity,1,0,2023-02-25
Beyond Gaming,Deep Cross Gaming,0,1,2023-02-25
CTBC Flying Oyster,Impunity,0,1,2023-02-24
PSG Talon,SEM9 WPE,1,0,2023-02-24
Frank Esports,HELL PIGS,0,1,2023-02-24
Beyond Gaming,Dewish Team,1,0,2023-02-24
Deep Cross Gaming,J Team,1,0,2023-02-24
SEM9 WPE,Impunity,0,1,2023-02-19
Frank Esports,CTBC Flying Oyster,0,1,2023-02-19
Deep Cross Gaming,Dewish Team,1,0,2023-02-19
HELL PIGS,Beyond Gaming,0,1,2023-02-19
PSG Talon,J Team,1,0,2023-02-19
HELL PIGS,SEM9 WPE,0,1,2023-02-18
CTBC Flying Oyster,J Team,1,0,2023-02-18
Frank Esports,Dewish Team,1,0,2023-02-18
PSG Talon,Deep Cross Gaming,1,0,2023-02-18
Beyond Gaming,Impunity,1,0,2023-02-18
PSG Talon,CTBC Flying Oyster,1,0,2023-02-17
Impunity,J Team,0,1,2023-02-17
Beyond Gaming,SEM9 WPE,0,1,2023-02-17
Deep Cross Gaming,Frank Esports,1,0,2023-02-17
HELL PIGS,Dewish Team,1,0,2023-02-17
Beyond Gaming,J Team,1,0,2023-02-12
Dewish Team,CTBC Flying Oyster,0,1,2023-02-12
Impunity,PSG Talon,1,0,2023-02-12
HELL PIGS,Deep Cross Gaming,1,0,2023-02-12
Frank Esports,SEM9 WPE,1,0,2023-02-12
Beyond Gaming,Dewish Team,1,0,2023-02-11
Impunity,Frank Esports,0,1,2023-02-11
Deep Cross Gaming,CTBC Flying Oyster,0,1,2023-02-11
PSG Talon,HELL PIGS,1,0,2023-02-11
J Team,SEM9 WPE,1,0,2023-02-11
Frank Esports,Beyond Gaming,1,0,2023-02-10
SEM9 WPE,Deep Cross Gaming,0,1,2023-02-10
Dewish Team,PSG Talon,0,1,2023-02-10
J Team,HELL PIGS,1,0,2023-02-10
Impunity,CTBC Flying Oyster,0,1,2023-02-10
Impunity,Deep Cross Gaming,1,0,2023-02-05
CTBC Flying Oyster,HELL PIGS,1,0,2023-02-05
Frank Esports,J Team,1,0,2023-02-05
SEM9 WPE,Dewish Team,0,1,2023-02-05
Beyond Gaming,PSG Talon,0,1,2023-02-05
SEM9 WPE,CTBC Flying Oyster,0,1,2023-02-04
Deep Cross Gaming,Beyond Gaming,1,0,2023-02-04
Impunity,HELL PIGS,1,0,2023-02-04
PSG Talon,Frank Esports,0,1,2023-02-04
Dewish Team,J Team,0,1,2023-02-04
Frank Esports,HELL PIGS,0,1,2023-02-03
J Team,Deep Cross Gaming,0,1,2023-02-03
Dewish Team,Impunity,0,1,2023-02-03
PSG Talon,SEM9 WPE,1,0,2023-02-03
CTBC Flying Oyster,Beyond Gaming,0,1,2023-02-03
