teamA,teamB,scoreA,scoreB,date
Hanwha Life eSports,Dplus KIA,1,3,2023-08-26
Dplus KIA,DRX,3,0,2023-08-25
KT Rolster,Hanwha Life eSports,3,1,2023-08-24
