teamA,teamB,scoreA,scoreB,date
Hanwha Life eSports,Gen.G eSports,0,2,2024-08-18
Nongshim RedForce,OK BRION,2,0,2024-08-18
T1,FearX,2,0,2024-08-17
Dplus KIA,KT Rolster,2,0,2024-08-17
Gen.G eSports,Nongshim RedForce,2,0,2024-08-16
DRX,Kwangdong Freecs,2,1,2024-08-16
OK BRION,Dplus KIA,0,2,2024-08-15
Hanwha Life eSports,FearX,2,0,2024-08-15
Kwangdong Freecs,T1,1,2,2024-08-14
KT Rolster,DRX,2,0,2024-08-14
OK BRION,T1,0,2,2024-08-11
Nongshim RedForce,Dplus KIA,1,2,2024-08-11
Hanwha Life eSports,DRX,2,0,2024-08-10
FearX,Kwangdong Freecs,2,1,2024-08-10
T1,Nongshim RedForce,0,2,2024-08-09
Gen.G eSports,KT Rolster,1,2,2024-08-09
Dplus KIA,FearX,2,1,2024-08-08
Hanwha Life eSports,OK BRION,2,0,2024-08-08
Kwangdong Freecs,KT Rolster,2,0,2024-08-07
DRX,Gen.G eSports,0,2,2024-08-07
Kwangdong Freecs,Nongshim RedForce,2,0,2024-08-04
OK BRION,KT Rolster,2,0,2024-08-04
FearX,DRX,2,0,2024-08-03
T1,Gen.G eSports,0,2,2024-08-03
Dplus KIA,Kwangdong Freecs,2,1,2024-08-02
Nongshim RedForce,Hanwha Life eSports,0,2,2024-08-02
FearX,Gen.G eSports,0,2,2024-08-01
DRX,OK BRION,2,0,2024-08-01
KT Rolster,Hanwha Life eSports,2,1,2024-07-31
T1,Dplus KIA,2,1,2024-07-31
KT Rolster,Nongshim RedForce,2,1,2024-07-28
DRX,T1,0,2,2024-07-28
Gen.G eSports,Kwangdong Freecs,2,0,2024-07-27
Hanwha Life eSports,Dplus KIA,2,1,2024-07-27
KT Rolster,T1,1,2,2024-07-26
FearX,OK BRION,2,0,2024-07-26
Dplus KIA,DRX,2,0,2024-07-25
Hanwha Life eSports,Kwangdong Freecs,2,0,2024-07-25
OK BRION,Gen.G eSports,0,2,2024-07-24
FearX,Nongshim RedForce,2,0,2024-07-24
DRX,Nongshim RedForce,0,2,2024-07-21
KT Rolster,FearX,1,2,2024-07-21
Gen.G eSports,Dplus KIA,2,1,2024-07-20
T1,Hanwha Life eSports,0,2,2024-07-20
Kwangdong Freecs,OK BRION,1,2,2024-07-19
KT Rolster,DRX,2,0,2024-07-19
Gen.G eSports,Nongshim RedForce,2,0,2024-07-18
FearX,T1,2,1,2024-07-18
Hanwha Life eSports,Kwangdong Freecs,2,0,2024-07-17
Dplus KIA,OK BRION,2,0,2024-07-17
FearX,Hanwha Life eSports,0,2,2024-07-14
DRX,Kwangdong Freecs,0,2,2024-07-14
OK BRION,Nongshim RedForce,0,2,2024-07-13
Dplus KIA,Gen.G eSports,0,2,2024-07-13
Hanwha Life eSports,T1,2,1,2024-07-12
FearX,KT Rolster,0,2,2024-07-12
Gen.G eSports,Kwangdong Freecs,2,0,2024-07-11
DRX,Dplus KIA,0,2,2024-07-11
Nongshim RedForce,KT Rolster,0,2,2024-07-10
T1,OK BRION,2,1,2024-07-10
Dplus KIA,Kwangdong Freecs,2,1,2024-06-30
OK BRION,FearX,0,2,2024-06-30
Hanwha Life eSports,Nongshim RedForce,2,0,2024-06-29
T1,KT Rolster,1,2,2024-06-29
Gen.G eSports,DRX,2,0,2024-06-28
FearX,Kwangdong Freecs,0,2,2024-06-28
KT Rolster,OK BRION,2,1,2024-06-27
Nongshim RedForce,Dplus KIA,0,2,2024-06-27
Gen.G eSports,Hanwha Life eSports,2,0,2024-06-26
T1,DRX,2,0,2024-06-26
Hanwha Life eSports,KT Rolster,2,0,2024-06-23
Gen.G eSports,OK BRION,2,0,2024-06-23
FearX,Dplus KIA,0,2,2024-06-22
Nongshim RedForce,DRX,2,1,2024-06-22
T1,Kwangdong Freecs,2,1,2024-06-21
OK BRION,Hanwha Life eSports,0,2,2024-06-21
DRX,FearX,2,0,2024-06-20
KT Rolster,Gen.G eSports,0,2,2024-06-20
Dplus KIA,T1,0,2,2024-06-19
Nongshim RedForce,Kwangdong Freecs,0,2,2024-06-19
Gen.G eSports,T1,2,0,2024-06-16
DRX,Hanwha Life eSports,1,2,2024-06-16
KT Rolster,Dplus KIA,1,2,2024-06-15
OK BRION,Kwangdong Freecs,1,2,2024-06-15
T1,Nongshim RedForce,2,0,2024-06-14
Gen.G eSports,FearX,2,0,2024-06-14
OK BRION,DRX,1,2,2024-06-13
KT Rolster,Kwangdong Freecs,0,2,2024-06-13
Nongshim RedForce,FearX,1,2,2024-06-12
Dplus KIA,Hanwha Life eSports,2,1,2024-06-12
