teamA,teamB,scoreA,scoreB,date
Invictus Gaming,Edward Gaming,2,0,2023-02-01
Anyone s Legend,Ultra Prime,1,2,2023-01-31
TT,Team WE,0,2,2023-01-31
Rare Atom,Ninjas in Pyjamas,2,0,2023-01-30
LGD Gaming,OMG,0,2,2023-01-30
Weibo Gaming,Top Esports,2,1,2023-01-18
Funplus Phoenix,Bilibili Gaming,1,2,2023-01-18
Invictus Gaming,Royal Never Give Up,2,0,2023-01-17
TT,LNG Esports,0,2,2023-01-17
Top Esports,Anyone s Legend,2,0,2023-01-16
Team WE,Edward Gaming,0,2,2023-01-16
Ultra Prime,Ninjas in Pyjamas,0,2,2023-01-15
Royal Never Give Up,OMG,2,0,2023-01-15
LGD Gaming,Rare Atom,1,2,2023-01-15
Bilibili Gaming,JD Gaming,1,2,2023-01-14
Anyone s Legend,Invictus Gaming,0,2,2023-01-14
Funplus Phoenix,Team WE,1,2,2023-01-14
