teamA,teamB,scoreA,scoreB,date
MAD Lions,Astralis,2,0,2023-02-19
Team Vitality,SK Gaming,0,2,2023-02-19
Team BDS,Astralis,1,2,2023-02-18
SK Gaming,Team Heretics,2,0,2023-02-18
MAD Lions,G2 Esports,0,2,2023-02-13
Team Vitality,KOI,0,2,2023-02-13
G2 Esports,Team BDS,2,1,2023-02-12
MAD Lions,Astralis,2,1,2023-02-12
KOI,SK Gaming,2,0,2023-02-11
Team Vitality,Team Heretics,2,1,2023-02-11
