teamA,teamB,scoreA,scoreB,date
SBTC Esports,Team Whales,1,2,2023-04-10
GAM Esports,Saigon Buffalo,2,0,2023-04-09
Cerberus Esports,SBTC Esports,1,2,2023-04-09
Team Secret,Cerberus Esports,0,2,2023-04-08
Team Flash,Team Whales,0,2,2023-04-08
SBTC Esports,GAM Esports,1,2,2023-04-07
Saigon Buffalo,MGN Box Esports,2,0,2023-04-07
Team Whales,Team Secret,2,0,2023-04-06
MGN Box Esports,Team Flash,1,2,2023-04-06
Cerberus Esports,GAM Esports,0,2,2023-04-05
Team Whales,Saigon Buffalo,2,0,2023-04-05
GAM Esports,Team Secret,2,1,2023-04-02
Team Whales,Cerberus Esports,2,1,2023-04-02
Team Flash,Saigon Buffalo,1,2,2023-04-01
MGN Box Esports,SBTC Esports,0,2,2023-04-01
Saigon Buffalo,SBTC Esports,1,2,2023-03-31
Team Flash,Team Secret,2,0,2023-03-31
SBTC Esports,Team Flash,2,0,2023-03-30
Team Secret,MGN Box Esports,2,1,2023-03-30
GAM Esports,Team Whales,2,1,2023-03-26
MGN Box Esports,Cerberus Esports,2,0,2023-03-26
Team Secret,Saigon Buffalo,1,2,2023-03-25
Cerberus Esports,Team Flash,2,0,2023-03-25
Team Whales,SBTC Esports,1,2,2023-03-24
MGN Box Esports,GAM Esports,0,2,2023-03-24
Saigon Buffalo,Cerberus Esports,1,2,2023-03-23
GAM Esports,Team Flash,2,1,2023-03-23
SBTC Esports,Team Secret,0,2,2023-03-19
MGN Box Esports,Team Whales,0,2,2023-03-19
Saigon Buffalo,GAM Esports,1,2,2023-03-18
Team Flash,MGN Box Esports,2,0,2023-03-18
SBTC Esports,Cerberus Esports,2,1,2023-03-17
Team Secret,Team Whales,1,2,2023-03-17
MGN Box Esports,Saigon Buffalo,0,2,2023-03-16
Team Whales,Team Flash,2,0,2023-03-16
Cerberus Esports,Team Secret,2,0,2023-03-12
GAM Esports,SBTC Esports,2,1,2023-03-12
Saigon Buffalo,Team Whales,2,1,2023-03-11
Team Flash,SBTC Esports,2,0,2023-03-11
Team Secret,GAM Esports,0,2,2023-03-10
SBTC Esports,MGN Box Esports,2,0,2023-03-10
Cerberus Esports,Team Whales,2,0,2023-03-09
Saigon Buffalo,Team Flash,2,0,2023-03-09
SBTC Esports,Saigon Buffalo,2,1,2023-03-05
Cerberus Esports,MGN Box Esports,2,0,2023-03-05
GAM Esports,Cerberus Esports,2,1,2023-03-04
Team Secret,Team Flash,0,2,2023-03-04
Team Whales,GAM Esports,1,2,2023-03-03
MGN Box Esports,Team Secret,0,2,2023-03-03
GAM Esports,MGN Box Esports,2,0,2023-03-02
Team Flash,Cerberus Esports,1,2,2023-03-02
SBTC Esports,Team Whales,0,2,2023-03-02
Cerberus Esports,Saigon Buffalo,2,1,2023-02-26
Team Secret,SBTC Esports,0,2,2023-02-26
Team Flash,GAM Esports,0,2,2023-02-25
MGN Box Esports,Team Whales,0,2,2023-02-25
Saigon Buffalo,Team Secret,1,2,2023-02-24
