teamA,teamB,scoreA,scoreB,date
Fluxo,FURIA Esports,0,1,2024-07-29
KaBuM! e-Sports,FURIA Esports,0,1,2024-07-29
RED Canids,KaBuM! e-Sports,1,0,2024-07-28
Los Grandes,Liberty,0,1,2024-07-28
INTZ e-Sports,Vivo Keyd Stars,0,1,2024-07-28
paiN Gaming,FURIA Esports,1,0,2024-07-28
LOUD,Fluxo,0,1,2024-07-28
KaBuM! e-Sports,Los Grandes,0,1,2024-07-27
Fluxo,RED Canids,0,1,2024-07-27
paiN Gaming,INTZ e-Sports,1,0,2024-07-27
LOUD,FURIA Esports,0,1,2024-07-27
Liberty,Vivo Keyd Stars,0,1,2024-07-27
KaBuM! e-Sports,paiN Gaming,1,0,2024-07-21
RED Canids,Los Grandes,1,0,2024-07-21
FURIA Esports,Liberty,1,0,2024-07-21
Vivo Keyd Stars,LOUD,1,0,2024-07-21
Fluxo,INTZ e-Sports,0,1,2024-07-21
Los Grandes,Vivo Keyd Stars,0,1,2024-07-20
INTZ e-Sports,FURIA Esports,0,1,2024-07-20
Liberty,Fluxo,0,1,2024-07-20
LOUD,KaBuM! e-Sports,1,0,2024-07-20
RED Canids,paiN Gaming,1,0,2024-07-20
Los Grandes,LOUD,0,1,2024-07-14
FURIA Esports,RED Canids,0,1,2024-07-14
INTZ e-Sports,KaBuM! e-Sports,0,1,2024-07-14
paiN Gaming,Liberty,1,0,2024-07-14
Vivo Keyd Stars,Fluxo,1,0,2024-07-14
LOUD,INTZ e-Sports,0,1,2024-07-13
Fluxo,Los Grandes,1,0,2024-07-13
Vivo Keyd Stars,paiN Gaming,0,1,2024-07-13
RED Canids,Liberty,1,0,2024-07-13
KaBuM! e-Sports,FURIA Esports,1,0,2024-07-13
INTZ e-Sports,RED Canids,0,1,2024-07-12
Liberty,LOUD,0,1,2024-07-12
KaBuM! e-Sports,Fluxo,1,0,2024-07-12
FURIA Esports,Vivo Keyd Stars,0,1,2024-07-12
paiN Gaming,Los Grandes,1,0,2024-07-12
Liberty,INTZ e-Sports,1,0,2024-06-30
Vivo Keyd Stars,KaBuM! e-Sports,1,0,2024-06-30
Los Grandes,FURIA Esports,0,1,2024-06-30
Fluxo,paiN Gaming,0,1,2024-06-30
LOUD,RED Canids,0,1,2024-06-30
FURIA Esports,Fluxo,1,0,2024-06-29
paiN Gaming,LOUD,1,0,2024-06-29
RED Canids,Vivo Keyd Stars,0,1,2024-06-29
INTZ e-Sports,Los Grandes,1,0,2024-06-29
KaBuM! e-Sports,Liberty,1,0,2024-06-29
FURIA Esports,paiN Gaming,0,1,2024-06-28
KaBuM! e-Sports,RED Canids,1,0,2024-06-28
Fluxo,LOUD,0,1,2024-06-28
Liberty,Los Grandes,1,0,2024-06-28
Vivo Keyd Stars,INTZ e-Sports,1,0,2024-06-28
FURIA Esports,LOUD,0,1,2024-06-23
Los Grandes,KaBuM! e-Sports,0,1,2024-06-23
Vivo Keyd Stars,Liberty,1,0,2024-06-23
INTZ e-Sports,paiN Gaming,0,1,2024-06-23
RED Canids,Fluxo,1,0,2024-06-23
paiN Gaming,KaBuM! e-Sports,1,0,2024-06-22
INTZ e-Sports,Fluxo,1,0,2024-06-22
LOUD,Vivo Keyd Stars,1,0,2024-06-22
Los Grandes,RED Canids,1,0,2024-06-22
Liberty,FURIA Esports,0,1,2024-06-22
Fluxo,Liberty,1,0,2024-06-16
FURIA Esports,INTZ e-Sports,1,0,2024-06-16
KaBuM! e-Sports,LOUD,0,1,2024-06-16
paiN Gaming,RED Canids,1,0,2024-06-16
Vivo Keyd Stars,Los Grandes,1,0,2024-06-16
Liberty,paiN Gaming,0,1,2024-06-15
Fluxo,Vivo Keyd Stars,1,0,2024-06-15
RED Canids,FURIA Esports,1,0,2024-06-15
LOUD,Los Grandes,1,0,2024-06-15
KaBuM! e-Sports,INTZ e-Sports,1,0,2024-06-15
Los Grandes,Fluxo,0,1,2024-06-09
paiN Gaming,Vivo Keyd Stars,0,1,2024-06-09
Liberty,RED Canids,0,1,2024-06-09
FURIA Esports,KaBuM! e-Sports,1,0,2024-06-09
INTZ e-Sports,LOUD,1,0,2024-06-09
Vivo Keyd Stars,FURIA Esports,1,0,2024-06-08
LOUD,Liberty,1,0,2024-06-08
RED Canids,INTZ e-Sports,0,1,2024-06-08
Fluxo,KaBuM! e-Sports,1,0,2024-06-08
Los Grandes,paiN Gaming,0,1,2024-06-08
RED Canids,LOUD,0,1,2024-06-02
INTZ e-Sports,Liberty,1,0,2024-06-02
paiN Gaming,Fluxo,0,1,2024-06-02
KaBuM! e-Sports,Vivo Keyd Stars,0,1,2024-06-02
FURIA Esports,Los Grandes,1,0,2024-06-02
Vivo Keyd Stars,RED Canids,1,0,2024-06-01
Liberty,KaBuM! e-Sports,0,1,2024-06-01
Los Grandes,INTZ e-Sports,0,1,2024-06-01
Fluxo,FURIA Esports,1,0,2024-06-01
LOUD,paiN Gaming,0,1,2024-06-01
