teamA,teamB,scoreA,scoreB,date
Leviatan,Infinity eSports,2,1,2024-02-29
Isurus,Six Karma,2,1,2024-02-29
Six Karma,Estral Esports,2,1,2024-02-28
All Knights,Isurus,0,2,2024-02-28
Movistar R7,Leviatan,2,0,2024-02-27
All Knights,Estral Esports,0,2,2024-02-27
Isurus,Estral Esports,0,2,2024-02-22
All Knights,Infinity eSports,2,0,2024-02-22
All Knights,Movistar R7,0,2,2024-02-21
Six Karma,Infinity eSports,2,0,2024-02-21
Leviatan,Six Karma,2,0,2024-02-20
Isurus,Movistar R7,0,2,2024-02-20
Leviatan,Estral Esports,0,2,2024-02-15
Six Karma,Movistar R7,0,2,2024-02-15
All Knights,Six Karma,2,0,2024-02-14
Movistar R7,Infinity eSports,2,0,2024-02-14
Infinity eSports,Estral Esports,0,2,2024-02-13
Leviatan,Isurus,0,2,2024-02-13
Leviatan,All Knights,1,2,2024-02-08
Infinity eSports,Isurus,1,2,2024-02-08
Estral Esports,Movistar R7,2,1,2024-02-07
Leviatan,Infinity eSports,2,1,2024-02-07
Isurus,Six Karma,2,0,2024-02-07
Six Karma,Estral Esports,0,2,2024-02-06
All Knights,Isurus,0,2,2024-02-06
All Knights,Movistar R7,0,2,2024-02-01
Leviatan,Movistar R7,0,2,2024-01-31
Estral Esports,All Knights,2,0,2024-01-31
Isurus,Estral Esports,0,2,2024-01-30
Six Karma,Infinity eSports,2,0,2024-01-30
Isurus,Movistar R7,0,2,2024-01-25
Six Karma,All Knights,0,2,2024-01-25
Infinity eSports,All Knights,2,1,2024-01-24
Leviatan,Six Karma,2,1,2024-01-24
Estral Esports,Leviatan,2,0,2024-01-23
Movistar R7,Infinity eSports,2,0,2024-01-23
Leviatan,All Knights,2,0,2024-01-18
Estral Esports,Infinity eSports,2,0,2024-01-18
Six Karma,Movistar R7,0,2,2024-01-17
Isurus,Leviatan,2,0,2024-01-17
Infinity eSports,Isurus,0,2,2024-01-16
Movistar R7,Estral Esports,0,2,2024-01-16
