teamA,teamB,scoreA,scoreB,date
TT,Ninjas in Pyjamas,2,0,2025-05-22
Team WE,Weibo Gaming,2,0,2025-05-22
Bilibili Gaming,Invictus Gaming,2,1,2025-05-21
Anyone s Legend,JD Gaming,0,2,2025-05-21
Bilibili Gaming,Top Esports,2,0,2025-05-20
Invictus Gaming,Funplus Phoenix,2,0,2025-05-20
JD Gaming,Ninjas in Pyjamas,2,0,2025-05-19
Weibo Gaming,Funplus Phoenix,2,0,2025-05-19
Team WE,Anyone s Legend,0,2,2025-05-18
TT,Top Esports,1,2,2025-05-18
JD Gaming,Bilibili Gaming,2,0,2025-05-17
Weibo Gaming,Top Esports,0,2,2025-05-17
Invictus Gaming,Ninjas in Pyjamas,2,0,2025-05-16
Funplus Phoenix,JD Gaming,0,2,2025-05-16
Team WE,TT,2,0,2025-05-15
Anyone s Legend,Ninjas in Pyjamas,2,1,2025-05-15
Top Esports,Team WE,2,0,2025-05-14
Weibo Gaming,JD Gaming,0,2,2025-05-14
Invictus Gaming,JD Gaming,2,0,2025-05-13
Bilibili Gaming,Ninjas in Pyjamas,2,1,2025-05-13
Ninjas in Pyjamas,Funplus Phoenix,2,0,2025-05-12
TT,Anyone s Legend,0,2,2025-05-12
Top Esports,JD Gaming,2,0,2025-05-11
Weibo Gaming,TT,1,2,2025-05-11
LGD Gaming,Ultra Prime,2,1,2025-05-11
Bilibili Gaming,Team WE,2,0,2025-05-10
Anyone s Legend,Weibo Gaming,2,0,2025-05-10
Edward Gaming,Royal Never Give Up,2,1,2025-05-10
Invictus Gaming,Team WE,2,1,2025-05-09
Funplus Phoenix,Anyone s Legend,2,1,2025-05-09
Top Esports,Ninjas in Pyjamas,2,1,2025-05-08
Funplus Phoenix,TT,2,0,2025-05-08
Bilibili Gaming,Anyone s Legend,2,0,2025-05-07
Ninjas in Pyjamas,Weibo Gaming,2,0,2025-05-07
TT,Invictus Gaming,1,2,2025-05-06
Team WE,JD Gaming,1,2,2025-05-06
