teamA,teamB,date,league,teamA_win
Top Esports,LGD Gaming,2025-02-16,LPL,1
FunPlus Phoenix,Invictus Gaming,2025-02-15,LPL,0
Bilibili Gaming,ThunderTalk Gaming,2025-02-14,LPL,0
Royal Never Give Up,Ninjas in Pyjamas,2025-02-13,LPL,0
Ultra Prime,Oh My God,2025-02-12,LPL,0
EDward Gaming,LNG Esports,2025-02-11,LPL,1
Team WE,Anyone's Legend,2025-02-10,LPL,0
JD Gaming,Weibo Gaming,2025-02-09,LPL,1
Ninjas in Pyjamas,FunPlus Phoenix,2025-02-08,LPL,1
Invictus Gaming,Royal Never Give Up,2025-01-25,LPL,1
Bilibili Gaming,LNG Esports,2025-01-25,LPL,1
Top Esports,Anyone's Legend,2025-01-24,LPL,0
Oh My God,JD Gaming,2025-01-23,LPL,0
LGD Gaming,Team WE,2025-01-22,LPL,1
EDward Gaming,ThunderTalk Gaming,2025-01-21,LPL,0
JD Gaming,Ultra Prime,2025-01-20,LPL,1
Invictus Gaming,Ninjas in Pyjamas,2025-01-19,LPL,0
Top Esports,Team WE,2025-01-18,LPL,1
EDward Gaming,Bilibili Gaming,2025-01-17,LPL,0
LGD Gaming,Anyone's Legend,2025-01-16,LPL,0
Ultra Prime,Weibo Gaming,2025-01-15,LPL,0
Royal Never Give Up,FunPlus Phoenix,2025-01-14,LPL,1
LNG Esports,ThunderTalk Gaming,2025-01-13,LPL,0
Weibo Gaming,Oh My God,2025-01-12,LPL,1
Top Esports,Anyone's Legend,2025-03-01,LPL,1
JD Gaming,Top Esports,2025-02-27,LPL,0
Bilibili Gaming,Top Esports,2025-02-26,LPL,0
JD Gaming,Anyone's Legend,2025-02-25,LPL,0
Ninjas in Pyjamas,Top Esports,2025-02-24,LPL,0
Bilibili Gaming,ThunderTalk Gaming,2025-02-24,LPL,1
Invictus Gaming,Top Esports,2025-02-23,LPL,0
Weibo Gaming,Bilibili Gaming,2025-02-23,LPL,0
Ninjas in Pyjamas,Anyone's Legend,2025-02-22,LPL,0
JD Gaming,ThunderTalk Gaming,2025-02-22,LPL,1
Ultra Prime,Team WE,2025-03-31,LPL,0
Team WE,LGD Gaming,2025-03-31,LPL,1
FunPlus Phoenix,Ultra Prime,2025-03-30,LPL,1
Team WE,Ultra Prime,2025-03-30,LPL,0
LGD Gaming,FunPlus Phoenix,2025-03-30,LPL,0
