teamA,teamB,date,league,teamA_win
FunPlus Phoenix,Ninjas in Pyjamas,2025-03-29,LPL,1
Top Esports,Oh My God,2025-03-29,LPL,1
FunPlus Phoenix,Oh My God,2025-03-29,LPL,0
Ninjas in Pyjamas,Top Esports,2025-03-29,LPL,0
Top Esports,FunPlus Phoenix,2025-03-29,LPL,1
Oh My God,Ninjas in Pyjamas,2025-03-29,LPL,0
Royal Never Give Up,Ultra Prime,2025-03-28,LPL,0
Ultra Prime,ThunderTalk Gaming,2025-03-28,LPL,0
Anyone's Legend,Royal Never Give Up,2025-03-28,LPL,1
Ultra Prime,Royal Never Give Up,2025-03-28,LPL,0
ThunderTalk Gaming,Anyone's Legend,2025-03-28,LPL,0
Anyone's Legend,Ultra Prime,2025-03-28,LPL,1
Royal Never Give Up,ThunderTalk Gaming,2025-03-28,LPL,0
LNG Esports,Invictus Gaming,2025-03-27,LPL,0
JD Gaming,LGD Gaming,2025-03-27,LPL,1
LNG Esports,LGD Gaming,2025-03-27,LPL,0
Invictus Gaming,JD Gaming,2025-03-27,LPL,1
JD Gaming,LNG Esports,2025-03-27,LPL,1
LGD Gaming,Invictus Gaming,2025-03-27,LPL,0
EDward Gaming,Team WE,2025-03-26,LPL,0
Team WE,Weibo Gaming,2025-03-26,LPL,0
Bilibili Gaming,EDward Gaming,2025-03-26,LPL,1
Team WE,EDward Gaming,2025-03-26,LPL,1
Weibo Gaming,Bilibili Gaming,2025-03-26,LPL,1
Bilibili Gaming,Team WE,2025-03-26,LPL,1
EDward Gaming,Weibo Gaming,2025-03-26,LPL,0
Oh My God,Top Esports,2025-03-25,LPL,0
Ninjas in Pyjamas,FunPlus Phoenix,2025-03-25,LPL,1
Top Esports,Ninjas in Pyjamas,2025-03-25,LPL,1
Oh My God,FunPlus Phoenix,2025-03-25,LPL,0
FunPlus Phoenix,Top Esports,2025-03-25,LPL,0
Ninjas in Pyjamas,Oh My God,2025-03-25,LPL,1
Royal Never Give Up,Anyone's Legend,2025-03-24,LPL,1
ThunderTalk Gaming,Ultra Prime,2025-03-24,LPL,0
Anyone's Legend,ThunderTalk Gaming,2025-03-24,LPL,1
Royal Never Give Up,Ultra Prime,2025-03-24,LPL,0
Ultra Prime,Anyone's Legend,2025-03-24,LPL,0
ThunderTalk Gaming,Royal Never Give Up,2025-03-24,LPL,1
LGD Gaming,JD Gaming,2025-03-23,LPL,0
Invictus Gaming,LNG Esports,2025-03-23,LPL,1
JD Gaming,Invictus Gaming,2025-03-23,LPL,0
LGD Gaming,LNG Esports,2025-03-23,LPL,1
LNG Esports,JD Gaming,2025-03-23,LPL,0
Invictus Gaming,LGD Gaming,2025-03-23,LPL,1
EDward Gaming,Bilibili Gaming,2025-03-22,LPL,0
Weibo Gaming,Team WE,2025-03-22,LPL,1
Bilibili Gaming,Weibo Gaming,2025-03-22,LPL,1
EDward Gaming,Team WE,2025-03-22,LPL,1
Team WE,Bilibili Gaming,2025-03-22,LPL,0
Weibo Gaming,EDward Gaming,2025-03-22,LPL,1
ThunderTalk Gaming,Ninjas in Pyjamas,2025-05-22,LPL,1
Team WE,Weibo Gaming,2025-05-22,LPL,1
Bilibili Gaming,Invictus Gaming,2025-05-21,LPL,1
Anyone's Legend,JD Gaming,2025-05-21,LPL,0
Bilibili Gaming,Top Esports,2025-05-20,LPL,1
Invictus Gaming,FunPlus Phoenix,2025-05-20,LPL,1
JD Gaming,Ninjas in Pyjamas,2025-05-19,LPL,1
Weibo Gaming,FunPlus Phoenix,2025-05-19,LPL,1
Team WE,Anyone's Legend,2025-05-18,LPL,0
ThunderTalk Gaming,Top Esports,2025-05-18,LPL,0
JD Gaming,Bilibili Gaming,2025-05-17,LPL,1
Weibo Gaming,Top Esports,2025-05-17,LPL,0
Invictus Gaming,Ninjas in Pyjamas,2025-05-16,LPL,1
FunPlus Phoenix,JD Gaming,2025-05-16,LPL,0
Team WE,ThunderTalk Gaming,2025-05-15,LPL,1
Anyone's Legend,Ninjas in Pyjamas,2025-05-15,LPL,1
Top Esports,Team WE,2025-05-14,LPL,1
Weibo Gaming,JD Gaming,2025-05-14,LPL,0
Invictus Gaming,JD Gaming,2025-05-13,LPL,1
Bilibili Gaming,Ninjas in Pyjamas,2025-05-13,LPL,1
Ninjas in Pyjamas,FunPlus Phoenix,2025-05-12,LPL,1
ThunderTalk Gaming,Anyone's Legend,2025-05-12,LPL,0
Top Esports,JD Gaming,2025-05-11,LPL,1
Weibo Gaming,ThunderTalk Gaming,2025-05-11,LPL,0
LGD Gaming,Ultra Prime,2025-05-11,LPL,1
Bilibili Gaming,Team WE,2025-05-10,LPL,1
Anyone's Legend,Weibo Gaming,2025-05-10,LPL,1
EDward Gaming,Royal Never Give Up,2025-05-10,LPL,1
Invictus Gaming,Team WE,2025-05-09,LPL,1
FunPlus Phoenix,Anyone's Legend,2025-05-09,LPL,1
Top Esports,Ninjas in Pyjamas,2025-05-08,LPL,1
FunPlus Phoenix,ThunderTalk Gaming,2025-05-08,LPL,1
Bilibili Gaming,Anyone's Legend,2025-05-07,LPL,1
Ninjas in Pyjamas,Weibo Gaming,2025-05-07,LPL,1
ThunderTalk Gaming,Invictus Gaming,2025-05-06,LPL,0
Team WE,JD Gaming,2025-05-06,LPL,0
Bilibili Gaming,ThunderTalk Gaming,2025-05-05,LPL,1
FunPlus Phoenix,Team WE,2025-05-05,LPL,0
Anyone's Legend,Top Esports,2025-05-04,LPL,1
Oh My God,Ultra Prime,2025-05-04,LPL,1
Invictus Gaming,Top Esports,2025-05-03,LPL,0
Bilibili Gaming,FunPlus Phoenix,2025-05-03,LPL,1
Ninjas in Pyjamas,Team WE,2025-05-03,LPL,0
Bilibili Gaming,Weibo Gaming,2025-05-02,LPL,1
Royal Never Give Up,Oh My God,2025-05-02,LPL,1
Invictus Gaming,Anyone's Legend,2025-05-01,LPL,0
Top Esports,FunPlus Phoenix,2025-05-01,LPL,1
Weibo Gaming,Invictus Gaming,2025-04-30,LPL,1
JD Gaming,ThunderTalk Gaming,2025-04-30,LPL,1
Weibo Gaming,Bilibili Gaming,2025-04-29,LPL,1
LGD Gaming,EDward Gaming,2025-04-29,LPL,0
Bilibili Gaming,FunPlus Phoenix,2025-04-28,LPL,0
LNG Esports,Royal Never Give Up,2025-04-28,LPL,1
Top Esports,JD Gaming,2025-04-27,LPL,1
Weibo Gaming,Invictus Gaming,2025-04-27,LPL,1
Ninjas in Pyjamas,Anyone's Legend,2025-04-27,LPL,0
ThunderTalk Gaming,JD Gaming,2025-04-26,LPL,0
Ultra Prime,EDward Gaming,2025-04-26,LPL,1
Ninjas in Pyjamas,Bilibili Gaming,2025-04-25,LPL,0
Team WE,FunPlus Phoenix,2025-04-25,LPL,1
Anyone's Legend,JD Gaming,2025-04-24,LPL,0
Weibo Gaming,Team WE,2025-04-24,LPL,0
Top Esports,Ninjas in Pyjamas,2025-04-23,LPL,1
Oh My God,LNG Esports,2025-04-23,LPL,0
ThunderTalk Gaming,Team WE,2025-04-22,LPL,0
Royal Never Give Up,LGD Gaming,2025-04-22,LPL,0
Team WE,Invictus Gaming,2025-04-21,LPL,0
JD Gaming,Weibo Gaming,2025-04-21,LPL,0
FunPlus Phoenix,Ninjas in Pyjamas,2025-04-20,LPL,1
Bilibili Gaming,Top Esports,2025-04-20,LPL,0
LNG Esports,Ultra Prime,2025-04-20,LPL,1
Anyone's Legend,Team WE,2025-04-19,LPL,1
EDward Gaming,Oh My God,2025-04-19,LPL,1
Invictus Gaming,JD Gaming,2025-04-18,LPL,1
ThunderTalk Gaming,Ninjas in Pyjamas,2025-04-18,LPL,1
Weibo Gaming,Ninjas in Pyjamas,2025-04-17,LPL,1
Team WE,Bilibili Gaming,2025-04-17,LPL,0
Top Esports,Team WE,2025-04-16,LPL,1
LGD Gaming,LNG Esports,2025-04-16,LPL,1
Invictus Gaming,Ninjas in Pyjamas,2025-04-15,LPL,0
ThunderTalk Gaming,Anyone's Legend,2025-04-15,LPL,0
JD Gaming,FunPlus Phoenix,2025-04-14,LPL,0
Ultra Prime,Royal Never Give Up,2025-04-14,LPL,1
Anyone's Legend,Weibo Gaming,2025-04-13,LPL,1
Top Esports,ThunderTalk Gaming,2025-04-13,LPL,1
Ninjas in Pyjamas,Team WE,2025-04-13,LPL,1
Bilibili Gaming,JD Gaming,2025-04-12,LPL,0
Invictus Gaming,ThunderTalk Gaming,2025-04-12,LPL,1
FunPlus Phoenix,Weibo Gaming,2025-04-12,LPL,1
Invictus Gaming,Top Esports,2025-04-11,LPL,1
Anyone's Legend,FunPlus Phoenix,2025-04-11,LPL,1
Bilibili Gaming,Anyone's Legend,2025-04-10,LPL,0
ThunderTalk Gaming,Weibo Gaming,2025-04-10,LPL,0
JD Gaming,Team WE,2025-04-09,LPL,1
LGD Gaming,Oh My God,2025-04-09,LPL,1
Anyone's Legend,Invictus Gaming,2025-04-08,LPL,1
FunPlus Phoenix,Top Esports,2025-04-08,LPL,0
Top Esports,Weibo Gaming,2025-04-07,LPL,1
EDward Gaming,LNG Esports,2025-04-07,LPL,1
Bilibili Gaming,Invictus Gaming,2025-04-06,LPL,1
ThunderTalk Gaming,FunPlus Phoenix,2025-04-06,LPL,1
JD Gaming,Ninjas in Pyjamas,2025-04-06,LPL,1
Anyone's Legend,Top Esports,2025-04-05,LPL,0
ThunderTalk Gaming,Bilibili Gaming,2025-04-05,LPL,0
FunPlus Phoenix,Invictus Gaming,2025-04-05,LPL,0
Anyone's Legend,Bilibili Gaming,2025-06-14,LPL,1
Bilibili Gaming,Invictus Gaming,2025-06-13,LPL,1
Team WE,Invictus Gaming,2025-06-11,LPL,0
Anyone's Legend,Bilibili Gaming,2025-06-09,LPL,1
Top Esports,Team WE,2025-06-08,LPL,0
Weibo Gaming,Invictus Gaming,2025-06-07,LPL,0
Team WE,JD Gaming,2025-06-05,LPL,1
FunPlus Phoenix,Invictus Gaming,2025-06-04,LPL,0
Anyone's Legend,Weibo Gaming,2025-06-03,LPL,1
Top Esports,Bilibili Gaming,2025-06-02,LPL,0
JD Gaming,Weibo Gaming,2025-06-01,LPL,0
Anyone's Legend,Team WE,2025-06-01,LPL,1
Bilibili Gaming,Invictus Gaming,2025-05-31,LPL,1
Top Esports,FunPlus Phoenix,2025-05-31,LPL,1
Weibo Gaming,ThunderTalk Gaming,2025-05-27,LPL,1
Team WE,LGD Gaming,2025-05-26,LPL,1
FunPlus Phoenix,Ninjas in Pyjamas,2025-05-25,LPL,1
Invictus Gaming,EDward Gaming,2025-05-24,LPL,1
Invictus Gaming,Bilibili Gaming,2025-08-28,LPL,1
JD Gaming,Weibo Gaming,2025-08-28,LPL,1
Team WE,Anyone's Legend,2025-08-27,LPL,1
Weibo Gaming,JD Gaming,2025-08-27,LPL,1
Top Esports,FunPlus Phoenix,2025-08-26,LPL,1
Team WE,Invictus Gaming,2025-08-26,LPL,0
FunPlus Phoenix,Bilibili Gaming,2025-08-25,LPL,0
LGD Gaming,Ultra Prime,2025-08-25,LPL,1
Anyone's Legend,JD Gaming,2025-08-24,LPL,1
EDward Gaming,LNG Esports,2025-08-24,LPL,1
Weibo Gaming,Invictus Gaming,2025-08-23,LPL,0
Team WE,Top Esports,2025-08-23,LPL,0
LNG Esports,ThunderTalk Gaming,2025-08-23,LPL,1
EDward Gaming,LGD Gaming,2025-08-22,LPL,0
Invictus Gaming,FunPlus Phoenix,2025-08-22,LPL,1
JD Gaming,Bilibili Gaming,2025-08-21,LPL,0
Ultra Prime,EDward Gaming,2025-08-21,LPL,0
FunPlus Phoenix,Anyone's Legend,2025-08-20,LPL,0
LGD Gaming,ThunderTalk Gaming,2025-08-20,LPL,1
Anyone's Legend,Top Esports,2025-08-19,LPL,0
Ninjas in Pyjamas,LNG Esports,2025-08-19,LPL,1
Bilibili Gaming,Invictus Gaming,2025-08-18,LPL,0
FunPlus Phoenix,Weibo Gaming,2025-08-18,LPL,0
Top Esports,Bilibili Gaming,2025-08-17,LPL,1
Weibo Gaming,Anyone's Legend,2025-08-17,LPL,0
Invictus Gaming,Top Esports,2025-08-16,LPL,1
ThunderTalk Gaming,Ultra Prime,2025-08-16,LPL,0
Team WE,JD Gaming,2025-08-16,LPL,0
Bilibili Gaming,Weibo Gaming,2025-08-15,LPL,1
Anyone's Legend,Invictus Gaming,2025-08-15,LPL,1
FunPlus Phoenix,Team WE,2025-08-14,LPL,0
Ninjas in Pyjamas,EDward Gaming,2025-08-14,LPL,1
Bilibili Gaming,Anyone's Legend,2025-08-13,LPL,0
JD Gaming,Top Esports,2025-08-13,LPL,0
Weibo Gaming,Team WE,2025-08-12,LPL,1
Ninjas in Pyjamas,LGD Gaming,2025-08-12,LPL,1
JD Gaming,FunPlus Phoenix,2025-08-11,LPL,1
Ultra Prime,Ninjas in Pyjamas,2025-08-11,LPL,0
Bilibili Gaming,Team WE,2025-08-10,LPL,1
ThunderTalk Gaming,EDward Gaming,2025-08-10,LPL,0
Invictus Gaming,JD Gaming,2025-08-09,LPL,1
Top Esports,Weibo Gaming,2025-08-09,LPL,1
Team WE,Bilibili Gaming,2025-08-09,LPL,0
Anyone's Legend,FunPlus Phoenix,2025-08-08,LPL,1
Ultra Prime,LNG Esports,2025-08-08,LPL,1
ThunderTalk Gaming,Ninjas in Pyjamas,2025-08-07,LPL,0
LNG Esports,LGD Gaming,2025-08-07,LPL,1
Invictus Gaming,Anyone's Legend,2025-08-06,LPL,1
Bilibili Gaming,JD Gaming,2025-08-06,LPL,1
Top Esports,Anyone's Legend,2025-08-05,LPL,1
Ninjas in Pyjamas,ThunderTalk Gaming,2025-08-05,LPL,1
Team WE,FunPlus Phoenix,2025-08-04,LPL,1
Bilibili Gaming,Top Esports,2025-08-03,LPL,1
LNG Esports,EDward Gaming,2025-08-03,LPL,0
JD Gaming,Anyone's Legend,2025-08-02,LPL,0
LNG Esports,Ultra Prime,2025-08-02,LPL,0
ThunderTalk Gaming,LGD Gaming,2025-08-02,LPL,0
Invictus Gaming,Weibo Gaming,2025-08-01,LPL,1
FunPlus Phoenix,JD Gaming,2025-08-01,LPL,0
Weibo Gaming,Bilibili Gaming,2025-07-31,LPL,0
Top Esports,Team WE,2025-07-31,LPL,1
Anyone's Legend,Team WE,2025-07-30,LPL,1
FunPlus Phoenix,Invictus Gaming,2025-07-29,LPL,1
Ultra Prime,LGD Gaming,2025-07-29,LPL,0
Top Esports,JD Gaming,2025-07-28,LPL,1
LGD Gaming,EDward Gaming,2025-07-28,LPL,0
Anyone's Legend,Weibo Gaming,2025-07-27,LPL,0
Bilibili Gaming,FunPlus Phoenix,2025-07-27,LPL,1
JD Gaming,Team WE,2025-07-26,LPL,1
Anyone's Legend,Bilibili Gaming,2025-07-26,LPL,0
Ninjas in Pyjamas,Ultra Prime,2025-07-26,LPL,1
LGD Gaming,LNG Esports,2025-07-25,LPL,1
EDward Gaming,Ninjas in Pyjamas,2025-07-25,LPL,1
ThunderTalk Gaming,LNG Esports,2025-07-24,LPL,1
JD Gaming,Invictus Gaming,2025-07-24,LPL,0
Team WE,Weibo Gaming,2025-07-23,LPL,0
FunPlus Phoenix,Top Esports,2025-07-23,LPL,0
Invictus Gaming,Team WE,2025-07-22,LPL,1
LGD Gaming,Ninjas in Pyjamas,2025-07-22,LPL,0
LNG Esports,Ninjas in Pyjamas,2025-07-21,LPL,0
Ultra Prime,ThunderTalk Gaming,2025-07-21,LPL,0
Weibo Gaming,Top Esports,2025-07-20,LPL,0
EDward Gaming,ThunderTalk Gaming,2025-07-20,LPL,1
Top Esports,Invictus Gaming,2025-07-19,LPL,1
Weibo Gaming,FunPlus Phoenix,2025-07-19,LPL,1
EDward Gaming,Ultra Prime,2025-07-19,LPL,1
Bilibili Gaming,Top Esports,2025-09-21,LPL,1
Anyone's Legend,Top Esports,2025-09-20,LPL,0
Anyone's Legend,JD Gaming,2025-09-16,LPL,1
Top Esports,Bilibili Gaming,2025-09-15,LPL,0
Invictus Gaming,Anyone's Legend,2025-09-14,LPL,0
JD Gaming,Weibo Gaming,2025-09-13,LPL,1
Ninjas in Pyjamas,Anyone's Legend,2025-09-12,LPL,0
EDward Gaming,JD Gaming,2025-09-11,LPL,0
Top Esports,Weibo Gaming,2025-09-10,LPL,1
Bilibili Gaming,Invictus Gaming,2025-09-09,LPL,1
Top Esports,Ninjas in Pyjamas,2025-09-08,LPL,1
Anyone's Legend,Weibo Gaming,2025-09-08,LPL,0
Invictus Gaming,EDward Gaming,2025-09-07,LPL,1
Bilibili Gaming,JD Gaming,2025-09-07,LPL,1
JD Gaming,LGD Gaming,2025-09-02,LPL,1
Weibo Gaming,Ultra Prime,2025-09-01,LPL,1
Team WE,EDward Gaming,2025-08-31,LPL,0
FunPlus Phoenix,Ninjas in Pyjamas,2025-08-30,LPL,0
Invictus Gaming,JD Gaming,2025-09-27,LPL,1
JD Gaming,Weibo Gaming,2025-09-26,LPL,1
Top Esports,Invictus Gaming,2025-09-25,LPL,1
SK Gaming,Fnatic,2025-02-03,LEC,0
G2 Esports,Team Heretics,2025-02-03,LEC,1
Karmine Corp,Team BDS,2025-02-03,LEC,0
Movistar KOI,Rogue,2025-02-03,LEC,1
Team Vitality,GiantX,2025-02-03,LEC,1
G2 Esports,Movistar KOI,2025-02-02,LEC,1
Team Heretics,Team Vitality,2025-02-02,LEC,0
Fnatic,Karmine Corp,2025-02-02,LEC,1
Team BDS,GiantX,2025-02-02,LEC,0
Rogue,SK Gaming,2025-02-02,LEC,0
Team Vitality,Karmine Corp,2025-02-01,LEC,0
Team Heretics,Movistar KOI,2025-02-01,LEC,1
Rogue,G2 Esports,2025-02-01,LEC,0
GiantX,Fnatic,2025-02-01,LEC,0
SK Gaming,Team BDS,2025-02-01,LEC,0
SK Gaming,Movistar KOI,2025-01-27,LEC,0
Karmine Corp,Team Heretics,2025-01-27,LEC,1
G2 Esports,GiantX,2025-01-27,LEC,1
Fnatic,Team BDS,2025-01-27,LEC,1
Team Vitality,Rogue,2025-01-27,LEC,1
Team BDS,Movistar KOI,2025-01-26,LEC,0
Karmine Corp,Rogue,2025-01-26,LEC,1
Fnatic,G2 Esports,2025-01-26,LEC,1
SK Gaming,Team Vitality,2025-01-26,LEC,0
GiantX,Team Heretics,2025-01-26,LEC,1
Karmine Corp,SK Gaming,2025-01-25,LEC,1
Team Vitality,G2 Esports,2025-01-25,LEC,0
GiantX,Movistar KOI,2025-01-25,LEC,0
Team BDS,Team Heretics,2025-01-25,LEC,0
Rogue,Fnatic,2025-01-25,LEC,0
GiantX,Karmine Corp,2025-01-20,LEC,1
G2 Esports,SK Gaming,2025-01-20,LEC,1
Movistar KOI,Team Vitality,2025-01-20,LEC,1
Team Heretics,Fnatic,2025-01-20,LEC,0
Team BDS,Rogue,2025-01-20,LEC,1
Fnatic,Team Vitality,2025-01-19,LEC,1
G2 Esports,Team BDS,2025-01-19,LEC,0
Movistar KOI,Karmine Corp,2025-01-19,LEC,0
Rogue,GiantX,2025-01-19,LEC,0
Team Heretics,SK Gaming,2025-01-19,LEC,1
Karmine Corp,G2 Esports,2025-01-18,LEC,1
Movistar KOI,Fnatic,2025-01-18,LEC,1
GiantX,SK Gaming,2025-01-18,LEC,1
Team Vitality,Team BDS,2025-01-18,LEC,1
Team Heretics,Rogue,2025-01-18,LEC,0
G2 Esports,Karmine Corp,2025-03-02,LEC,0
Karmine Corp,Fnatic,2025-03-01,LEC,1
Fnatic,Movistar KOI,2025-02-28,LEC,1
Karmine Corp,G2 Esports,2025-02-24,LEC,0
Movistar KOI,GiantX,2025-02-23,LEC,1
Fnatic,Team BDS,2025-02-23,LEC,1
Team Vitality,Team BDS,2025-02-22,LEC,0
GiantX,Team Heretics,2025-02-22,LEC,1
Karmine Corp,Movistar KOI,2025-02-17,LEC,1
Fnatic,G2 Esports,2025-02-17,LEC,0
Karmine Corp,Team Vitality,2025-02-16,LEC,1
Movistar KOI,Team BDS,2025-02-16,LEC,1
G2 Esports,GiantX,2025-02-15,LEC,1
Fnatic,Team Heretics,2025-02-15,LEC,1
Team Heretics,Team Vitality,2025-05-13,LEC,1
Rogue,Movistar KOI,2025-05-12,LEC,0
Team Heretics,GiantX,2025-05-12,LEC,0
G2 Esports,Karmine Corp,2025-05-11,LEC,0
SK Gaming,Team Vitality,2025-05-11,LEC,0
Team Vitality,Karmine Corp,2025-05-10,LEC,0
SK Gaming,G2 Esports,2025-05-10,LEC,0
Movistar KOI,SK Gaming,2025-05-05,LEC,1
Fnatic,Team Heretics,2025-05-05,LEC,1
G2 Esports,Team Vitality,2025-05-04,LEC,1
GiantX,Team BDS,2025-05-04,LEC,1
Karmine Corp,Rogue,2025-05-03,LEC,1
Fnatic,Team BDS,2025-05-03,LEC,1
Team Vitality,Team BDS,2025-04-28,LEC,1
SK Gaming,Team Heretics,2025-04-28,LEC,0
Movistar KOI,GiantX,2025-04-27,LEC,1
G2 Esports,Fnatic,2025-04-27,LEC,0
Movistar KOI,Fnatic,2025-04-26,LEC,1
GiantX,G2 Esports,2025-04-26,LEC,1
Team Vitality,Movistar KOI,2025-04-21,LEC,1
SK Gaming,Rogue,2025-04-21,LEC,0
Team BDS,G2 Esports,2025-04-20,LEC,1
Team Heretics,Team Vitality,2025-04-20,LEC,1
Karmine Corp,GiantX,2025-04-19,LEC,1
Fnatic,Rogue,2025-04-19,LEC,1
Team Heretics,Karmine Corp,2025-04-14,LEC,0
GiantX,SK Gaming,2025-04-14,LEC,0
Team BDS,Movistar KOI,2025-04-13,LEC,0
Team Vitality,Fnatic,2025-04-13,LEC,0
Karmine Corp,SK Gaming,2025-04-12,LEC,1
Rogue,G2 Esports,2025-04-12,LEC,0
Team Heretics,Team BDS,2025-04-12,LEC,1
Movistar KOI,Team Heretics,2025-04-07,LEC,1
GiantX,Rogue,2025-04-07,LEC,1
Karmine Corp,Fnatic,2025-04-06,LEC,0
Team BDS,SK Gaming,2025-04-06,LEC,1
G2 Esports,Team Heretics,2025-04-05,LEC,1
Team BDS,Karmine Corp,2025-04-05,LEC,0
Rogue,Team Vitality,2025-04-05,LEC,1
SK Gaming,Fnatic,2025-03-31,LEC,1
Team BDS,Rogue,2025-03-31,LEC,1
Karmine Corp,Movistar KOI,2025-03-30,LEC,1
GiantX,Team Vitality,2025-03-30,LEC,0
G2 Esports,Movistar KOI,2025-03-29,LEC,1
Rogue,Team Heretics,2025-03-29,LEC,0
Fnatic,GiantX,2025-03-29,LEC,1
G2 Esports,Movistar KOI,2025-06-08,LEC,0
Movistar KOI,Karmine Corp,2025-06-07,LEC,1
Karmine Corp,Fnatic,2025-06-02,LEC,1
Karmine Corp,Team Heretics,2025-06-01,LEC,1
Fnatic,GiantX,2025-05-31,LEC,1
Movistar KOI,G2 Esports,2025-05-26,LEC,0
Karmine Corp,Movistar KOI,2025-05-25,LEC,0
Fnatic,G2 Esports,2025-05-24,LEC,0
Natus Vincere,GiantX,2025-08-26,LEC,0
Team Vitality,Movistar KOI,2025-08-26,LEC,0
Team BDS,Team Heretics,2025-08-25,LEC,0
SK Gaming,G2 Esports,2025-08-25,LEC,0
G2 Esports,Team BDS,2025-08-18,LEC,1
Karmine Corp,Team Vitality,2025-08-18,LEC,0
Fnatic,G2 Esports,2025-08-17,LEC,0
Team Vitality,Natus Vincere,2025-08-17,LEC,1
Team Heretics,SK Gaming,2025-08-16,LEC,0
Movistar KOI,Natus Vincere,2025-08-16,LEC,1
Karmine Corp,Movistar KOI,2025-08-10,LEC,1
Fnatic,Team BDS,2025-08-10,LEC,1
Movistar KOI,GiantX,2025-08-09,LEC,1
G2 Esports,Team Heretics,2025-08-09,LEC,1
GiantX,Team Vitality,2025-08-04,LEC,1
SK Gaming,Fnatic,2025-08-04,LEC,0
GiantX,Karmine Corp,2025-08-03,LEC,0
Team BDS,SK Gaming,2025-08-03,LEC,1
Team Heretics,Fnatic,2025-08-02,LEC,0
Natus Vincere,Karmine Corp,2025-08-02,LEC,0
Movistar KOI,G2 Esports,2025-09-28,LEC,0
Movistar KOI,Fnatic,2025-09-27,LEC,1
Karmine Corp,Fnatic,2025-09-26,LEC,0
Fnatic,GiantX,2025-09-15,LEC,1
Movistar KOI,G2 Esports,2025-09-14,LEC,0
Karmine Corp,Team Vitality,2025-09-13,LEC,1
Movistar KOI,Fnatic,2025-09-08,LEC,1
Karmine Corp,G2 Esports,2025-09-07,LEC,0
GiantX,Team BDS,2025-09-06,LEC,1
Team Heretics,Team Vitality,2025-09-05,LEC,0
Hanwha Life Esports,Gen.G,2025-02-23,LCK,1
Dplus KIA,Gen.G,2025-02-22,LCK,0
Nongshim RedForce,Gen.G,2025-02-20,LCK,0
Hanwha Life Esports,Dplus KIA,2025-02-19,LCK,1
Gen.G,Hanwha Life Esports,2025-02-16,LCK,0
Dplus KIA,Nongshim RedForce,2025-02-15,LCK,1
Hanwha Life Esports,T1,2025-02-13,LCK,1
KT Rolster,Nongshim RedForce,2025-02-12,LCK,0
DRX,Nongshim RedForce,2025-02-09,LCK,0
Hanwha Life Esports,DRX,2025-02-08,LCK,1
T1,Nongshim RedForce,2025-02-08,LCK,1
Nongshim RedForce,OKSavingsBank BRION,2025-02-07,LCK,1
DRX,DN Freecs,2025-02-07,LCK,1
Nongshim RedForce,BNK FEARX,2025-02-02,LCK,1
OKSavingsBank BRION,Dplus KIA,2025-02-01,LCK,0
T1,Gen.G,2025-02-01,LCK,1
DRX,Hanwha Life Esports,2025-01-31,LCK,0
