league,date,Team,GP,W,L,AGT,K,D,KD,CKPM,GSPD,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,winrate%
LEC,2023-01-21,Astralis,1.0,0.0,1.0,35.916666666666664,16.0,24.0,0.6666666666666666,1.1136890951276104,-0.0326284,1377.0,1.0,1.0,0.0,6.0,0.0,,1.0,0.2,,1.0,0.5,0.48892490545651,0.5131004366812227,4.4548,1.3364269141531324,1.6426914153132253,0.0
LEC,2023-01-22,Astralis,2.0,0.0,2.0,32.63333333333333,20.0,39.0,0.5128205128205128,0.8805242749914031,-0.041307800000000006,478.0,1.0,1.0,0.0,5.5,0.25,,0.5,0.1111111111111111,,0.5,0.5,0.4824662914998481,0.49200728205252275,4.169499999999999,1.213358261165152,1.332418961489662,0.0
LEC,2023-01-23,Astralis,3.0,0.0,3.0,30.05,25.0,62.0,0.4032258064516129,0.9620999073731479,-0.08258453333333333,-1053.6666666666667,1.0,0.6666666666666666,0.0,5.333333333333333,0.16666666666666666,,0.3333333333333333,0.07692307692307693,,0.3333333333333333,0.3333333333333333,0.47889305278072064,0.4517161949078674,3.9584999999999995,1.1839892314889806,1.3169464208546842,0.0
LEC,2023-01-28,Astralis,4.0,0.0,4.0,30.420833333333334,35.0,73.0,0.4794520547945205,0.888065416787789,-0.0850793,-889.25,1.0,0.75,0.0,5.5,0.375,,0.25,0.1111111111111111,,0.25,0.25,0.4795087726363879,0.4416442890380434,3.7775499999999997,1.2526853697055305,1.3444751433365734,0.0
LEC,2023-01-29,Astralis,5.0,0.0,5.0,30.703333333333337,41.0,95.0,0.43157894736842106,0.8863685637967234,-0.11377164,-976.4,0.8,0.8,0.0,6.0,0.3,,0.2,0.09090909090909091,,0.2,0.16666666666666666,0.4830902222434773,0.4247835752747561,3.7822400000000003,1.2283263062356284,1.245213622522662,0.0
LEC,2023-01-30,Astralis,6.0,1.0,5.0,30.819444444444446,63.0,101.0,0.6237623762376238,0.8872604273677577,-0.07995535,-234.83333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,6.166666666666667,0.4166666666666667,,0.16666666666666666,0.2222222222222222,,0.16666666666666666,0.25,0.48702906583512234,0.44002527376792444,3.656116666666667,1.204072346491474,1.2393765325693096,0.16666666666666666
LEC,2023-02-04,Astralis,7.0,2.0,5.0,31.945238095238096,79.0,124.0,0.6370967741935484,0.9044735003130061,-0.0803088,-482.2857142857143,0.7142857142857143,0.7142857142857143,0.14285714285714285,5.571428571428571,0.35714285714285715,,0.2857142857142857,0.24242424242424243,,0.14285714285714285,0.3,0.49301002340636907,0.44073968865971686,3.5546285714285717,1.1575695786464386,1.3059550788578578,0.2857142857142857
LEC,2023-02-05,Astralis,8.0,3.0,5.0,31.320833333333333,95.0,126.0,0.753968253968254,0.8749022534046782,-0.0563557,-410.875,0.75,0.75,0.25,5.625,0.4375,,0.375,0.32432432432432434,,0.25,0.36363636363636365,0.49286498947419444,0.44384394888872764,3.4859999999999998,1.15201994903363,1.2957719184904215,0.375
LEC,2023-02-06,Astralis,9.0,3.0,6.0,31.259259259259256,97.0,139.0,0.697841726618705,0.8318620728470139,-0.06845884444444444,-443.3333333333333,0.7777777777777778,0.7777777777777778,0.2222222222222222,5.333333333333333,0.3888888888888889,,0.4444444444444444,0.34146341463414637,,0.2222222222222222,0.3076923076923077,0.49186565372616564,0.4397954442796921,3.4092444444444445,1.1431943305241754,1.2529167986196308,0.3333333333333333
LEC,2023-02-12,Astralis,12.0,4.0,8.0,30.440277777777776,144.0,190.0,0.7578947368421053,0.9159501376249164,-0.058205416666666676,-464.9166666666667,0.5833333333333334,0.6666666666666666,0.25,5.25,0.4583333333333333,,0.5,0.36538461538461536,,0.3333333333333333,0.375,0.4866752374882699,0.4448270841184096,3.276566666666666,1.1344683912010856,1.2500493526802965,0.3333333333333333
LEC,2023-02-18,Astralis,15.0,6.0,9.0,31.28111111111111,184.0,218.0,0.8440366972477065,0.8639134756801595,-0.038215593333333346,55.733333333333334,0.6,0.7333333333333333,0.3333333333333333,5.8,0.5,,0.6,0.4393939393939394,,0.4,0.42857142857142855,0.4889949284635947,0.44970416228513993,3.2669066666666664,1.1008696068902744,1.294734647449631,0.4
LEC,2023-02-19,Astralis,17.0,6.0,11.0,30.93627450980392,205.0,256.0,0.80078125,0.8850691525615572,-0.037956947058823534,-268.7647058823529,0.5882352941176471,0.6470588235294118,0.29411764705882354,5.529411764705882,0.4411764705882353,,0.5294117647058824,0.3972602739726027,,0.35294117647058826,0.375,0.49114213264569573,0.4438055295175132,3.180447058823529,1.0745450592453967,1.2908771773120895,0.35294117647058826
LEC,2023-03-11,Astralis,1.0,1.0,0.0,28.366666666666667,9.0,3.0,3.0,0.42303172737955347,0.0172443,2545.0,1.0,1.0,1.0,7.0,0.5,,1.0,0.75,,1.0,1.0,0.5157004830917874,0.47703180212014135,3.5605,1.128084606345476,1.3043478260869565,1.0
