teamA,teamB,scoreA,scoreB,date
Team Heretics,MAD Lions,0,1,2023-03-27
KOI,Team Vitality,0,1,2023-03-27
MAD Lions,G2 Esports,0,1,2023-03-27
Astralis,Fnatic,1,0,2023-03-27
Team Heretics,SK Gaming,1,0,2023-03-27
Team BDS,Excel Esports,1,0,2023-03-27
G2 Esports,Fnatic,0,1,2023-03-26
Team Vitality,Team Heretics,1,0,2023-03-26
KOI,Team BDS,0,1,2023-03-26
MAD Lions,SK Gaming,1,0,2023-03-26
Excel Esports,Astralis,0,1,2023-03-26
SK Gaming,G2 Esports,0,1,2023-03-25
Fnatic,MAD Lions,1,0,2023-03-25
Team Vitality,Team BDS,0,1,2023-03-25
KOI,Excel Esports,1,0,2023-03-25
Team Heretics,Astralis,0,1,2023-03-25
Fnatic,KOI,1,0,2023-03-20
Team BDS,G2 Esports,0,1,2023-03-20
Astralis,Team Vitality,1,0,2023-03-20
MAD Lions,Team Heretics,0,1,2023-03-20
Excel Esports,SK Gaming,0,1,2023-03-20
G2 Esports,Team Vitality,1,0,2023-03-19
SK Gaming,KOI,0,1,2023-03-19
Team Heretics,Fnatic,0,1,2023-03-19
Excel Esports,MAD Lions,1,0,2023-03-19
Team BDS,Astralis,1,0,2023-03-19
KOI,G2 Esports,1,0,2023-03-18
Team Vitality,SK Gaming,1,0,2023-03-18
Fnatic,Team BDS,0,1,2023-03-18
Team Heretics,Excel Esports,1,0,2023-03-18
Astralis,MAD Lions,0,1,2023-03-18
Fnatic,Team Vitality,0,1,2023-03-13
G2 Esports,Excel Esports,1,0,2023-03-13
MAD Lions,KOI,1,0,2023-03-13
SK Gaming,Astralis,1,0,2023-03-13
Team Heretics,Team BDS,0,1,2023-03-13
KOI,Team Heretics,1,0,2023-03-12
Astralis,G2 Esports,1,0,2023-03-12
SK Gaming,Fnatic,1,0,2023-03-12
Excel Esports,Team Vitality,0,1,2023-03-12
Team BDS,MAD Lions,1,0,2023-03-12
G2 Esports,Team Heretics,1,0,2023-03-11
Astralis,KOI,1,0,2023-03-11
Team Vitality,MAD Lions,1,0,2023-03-11
Team BDS,SK Gaming,0,1,2023-03-11
Excel Esports,Fnatic,1,0,2023-03-11
