teamA,teamB,scoreA,scoreB,date
Estral Esports,Movistar R7,3,0,2024-04-06
Movistar R7,Isurus,3,2,2024-03-26
Isurus,All Knights,3,2,2024-03-20
Estral Esports,Movistar R7,3,2,2024-03-19
Leviatan,All Knights,1,3,2024-03-13
All Knights,Six Karma,3,0,2024-03-12
Movistar R7,Isurus,3,0,2024-03-06
Estral Esports,Leviatan,3,0,2024-03-05
