teamA,teamB,scoreA,scoreB,date
Dignitas,Immortals,2,1,2024-08-11
FlyQuest,Cloud9,0,2,2024-08-11
Shopify Rebellion,100 Thieves,1,2,2024-08-10
NRG,Team Liquid,0,2,2024-08-10
Team Liquid,Cloud9,2,1,2024-08-04
FlyQuest,Shopify Rebellion,2,1,2024-08-04
NRG,Dignitas,0,2,2024-08-03
100 Thieves,Immortals,2,0,2024-08-03
FlyQuest,100 Thieves,2,1,2024-07-28
Team Liquid,Immortals,2,0,2024-07-28
Shopify Rebellion,Dignitas,2,0,2024-07-27
Cloud9,NRG,2,0,2024-07-27
NRG,Shopify Rebellion,2,0,2024-07-21
Cloud9,100 Thieves,2,0,2024-07-21
FlyQuest,Immortals,2,0,2024-07-20
Dignitas,Team Liquid,1,2,2024-07-20
Dignitas,FlyQuest,0,2,2024-06-28
Shopify Rebellion,Cloud9,0,2,2024-06-28
Immortals,NRG,0,2,2024-06-27
100 Thieves,Team Liquid,0,2,2024-06-27
Team Liquid,Shopify Rebellion,2,0,2024-06-23
FlyQuest,NRG,2,1,2024-06-23
100 Thieves,Dignitas,0,2,2024-06-22
Cloud9,Immortals,2,0,2024-06-22
Immortals,Shopify Rebellion,2,0,2024-06-16
100 Thieves,NRG,2,0,2024-06-16
Cloud9,Dignitas,2,1,2024-06-15
Team Liquid,FlyQuest,2,1,2024-06-15
