teamA,teamB,scoreA,scoreB,date
Cloud9,Golden Guardians,3,1,2023-04-09
FlyQuest,Golden Guardians,2,3,2023-04-08
Evil Geniuses,Golden Guardians,0,3,2023-03-31
Cloud9,FlyQuest,3,0,2023-03-30
CLG,Evil Geniuses,0,3,2023-03-26
100 Thieves,Golden Guardians,2,3,2023-03-25
Cloud9,CLG,3,1,2023-03-24
FlyQuest,100 Thieves,3,0,2023-03-23
