teamA,teamB,scoreA,scoreB,date
JD Gaming,LNG Esports,2,1,2023-06-04
Weibo Gaming,OMG,1,2,2023-06-04
Bilibili Gaming,Rare Atom,2,1,2023-06-04
Top Esports,Edward Gaming,2,1,2023-06-03
Royal Never Give Up,LNG Esports,0,2,2023-06-03
Invictus Gaming,Ninjas in Pyjamas,0,2,2023-06-03
Funplus Phoenix,Ultra Prime,0,2,2023-06-02
LGD Gaming,TT,1,2,2023-06-02
Team WE,Anyone s Legend,2,0,2023-06-02
Weibo Gaming,JD Gaming,2,0,2023-06-01
OMG,Bilibili Gaming,0,2,2023-06-01
LNG Esports,Top Esports,2,1,2023-05-31
Royal Never Give Up,Rare Atom,2,0,2023-05-31
Ninjas in Pyjamas,Edward Gaming,0,2,2023-05-30
LGD Gaming,Invictus Gaming,0,2,2023-05-30
Funplus Phoenix,TT,2,0,2023-05-29
Ultra Prime,Anyone s Legend,2,1,2023-05-29
