teamA,teamB,scoreA,scoreB,date
Shopify Rebellion,100 Thieves,0,3,2025-09-06
Cloud9,100 Thieves,2,3,2025-09-05
FlyQuest,Shopify Rebellion,3,1,2025-08-31
Team Liquid,100 Thieves,0,3,2025-08-30
Cloud9,Disguised,3,2,2025-08-29
LYON,100 Thieves,1,3,2025-08-24
Disguised,Dignitas,3,1,2025-08-23
FlyQuest,Team Liquid,3,0,2025-08-17
Cloud9,Shopify Rebellion,2,3,2025-08-16
Dignitas,Disguised,1,2,2025-08-10
Cloud9,Team Liquid,2,0,2025-08-10
Shopify Rebellion,100 Thieves,2,1,2025-08-09
FlyQuest,LYON,2,0,2025-08-09
Disguised,Shopify Rebellion,1,2,2025-08-03
Dignitas,Cloud9,0,2,2025-08-03
LYON,Team Liquid,2,1,2025-08-02
100 Thieves,FlyQuest,0,2,2025-08-02
Shopify Rebellion,Dignitas,2,0,2025-07-27
Team Liquid,100 Thieves,2,0,2025-07-27
Cloud9,LYON,2,0,2025-07-26
FlyQuest,Disguised,2,0,2025-07-26
